year,city,parameter,station_name,count,mean,std,min,25%,50%,75%,max
2023,Firenze,no2 µg/m³,FI-MOSSE,6217.0,29.82612192375744,14.39474422018915,3.0,18.0,28.0,39.0,101.0
2023,Firenze,no2 µg/m³,FI-SCANDICCI,4000.0,14.103,9.90120697061064,2.0,7.0,12.0,18.0,95.0
2023,Firenze,no2 µg/m³,FI-SETTIGNANO,6037.0,4.832201424548617,5.536567695731247,0.0,2.0,3.0,6.0,69.0
2023,Firenze,o3 µg/m³,FI-SETTIGNANO,6207.0,61.82713065893346,29.03774065042559,0.0,40.0,61.0,82.0,154.0
2023,Firenze,pm10 µg/m³,FI-BASSI,4979.0,20.35127535649729,9.691801709172806,5.0,14.0,18.0,25.0,68.0
2023,Firenze,pm10 µg/m³,FI-BOBOLI,5183.0,18.650202585375265,9.317223599004226,2.0,13.0,17.0,23.0,59.0
2023,Firenze,pm10 µg/m³,FI-GRAMSCI,5020.0,29.0,10.801861653544135,12.0,22.0,27.0,33.0,82.0
2023,Firenze,pm10 µg/m³,FI-MOSSE,5017.0,27.40063783137333,12.985336457345817,0.0,19.0,25.0,34.0,83.0
2023,Firenze,pm10 µg/m³,FI-SCANDICCI,4906.0,18.235629841011008,8.914220412718219,2.0,13.0,17.0,22.0,52.0
2023,Firenze,pm25 µg/m³,FI-BASSI,4979.0,10.931914038963647,6.490558071985747,2.0,7.0,10.0,13.0,54.0
2023,Firenze,pm25 µg/m³,FI-GRAMSCI,5020.0,13.360557768924302,7.1440001736716106,4.0,9.0,12.0,16.0,59.0
2023,Napoli,no2 µg/m³,IT0898A,5794.0,40.32833966171901,22.428988736784326,2.05,23.6,36.150000000000006,53.8,158.0
2023,Napoli,no2 µg/m³,IT1495A,5818.0,39.99229632176005,21.969097043651605,1.94,23.3,35.8,53.5,198.0
2023,Napoli,no2 µg/m³,IT1496A,5913.0,38.347361745306955,22.120122332771672,2.21,22.9,33.3,49.1,276.0
2023,Napoli,no2 µg/m³,IT1497A,5683.0,21.25761393630125,18.47024646119745,0.0,8.52,15.0,28.25,152.0
2023,Napoli,no2 µg/m³,NA07 ENTE FERROVIE,5896.0,53.30306478968792,29.675130586995884,3.01,30.9,49.55,71.6,198.0
2023,Napoli,no2 µg/m³,NA09 I.T.I.S. ARGINE,5819.0,35.60811995188177,21.74620365643663,1.5,17.1,32.5,50.9,220.0
2023,Napoli,o3 µg/m³,IT1497A,5731.0,63.373510731111494,28.39304856720447,0.0,44.849999999999994,64.5,81.7,193.0
2023,Napoli,pm10 µg/m³,IT0898A,6032.0,23.510610079575596,15.556688772691023,0.0,14.4,20.8,29.4,429.0
2023,Napoli,pm10 µg/m³,NA07 ENTE FERROVIE,5968.0,27.86484584450402,16.85887431434865,0.0,17.7,25.7,34.8,370.0
2023,Napoli,pm10 µg/m³,NA09 I.T.I.S. ARGINE,6027.0,27.48533266965323,18.967619373578803,0.0,15.9,23.6,33.9,214.0
2023,Napoli,pm25 µg/m³,IT0898A,6033.0,13.336142880822145,12.871568466659994,0.0,6.4,11.0,17.8,348.0
2023,Napoli,pm25 µg/m³,NA09 I.T.I.S. ARGINE,6026.0,17.42784600066379,14.496329067103762,0.0,9.2,14.5,21.6,304.0
2023,Roma,no2 µg/m³,ARENULA,6838.0,31.510529394559814,18.113874198508455,0.0,18.0,28.0,42.0,124.0
2023,Roma,no2 µg/m³,BUFALOTTA,6245.0,29.08134507606085,15.77390032828031,0.0,18.0,25.0,36.0,113.0
2023,Roma,no2 µg/m³,C.SO FRANCIA,6962.0,34.58316575696639,13.29476603987374,3.0,25.0,33.0,42.0,115.0
2023,Roma,no2 µg/m³,CINECITTA,5464.0,22.50064055636896,17.357303725916864,1.0,10.0,17.0,31.0,239.0
2023,Roma,no2 µg/m³,CIPRO,13133.0,28.910111931774917,16.300492997818676,0.0,17.0,25.0,38.0,121.0
2023,Roma,no2 µg/m³,Fermi,6987.0,45.62594818949478,22.787557646858733,1.0,28.0,42.0,60.0,162.0
2023,Roma,no2 µg/m³,IT0825A,5013.0,34.104129263913826,12.19644706193588,4.0,25.0,33.0,42.0,100.0
2023,Roma,no2 µg/m³,IT1176A,6185.0,24.629264349232013,16.29933501663806,1.0,12.0,21.0,34.0,363.0
2023,Roma,no2 µg/m³,IT1835A,5464.0,28.51949121522694,15.431517620650197,3.0,18.0,25.0,35.0,240.0
2023,Roma,no2 µg/m³,IT1906A,6181.0,31.411179420805695,18.08027424426687,1.0,18.0,28.0,42.0,188.0
